Plant ID,Length (px)
test_image_1_plant_1,562.3919189857877
test_image_1_plant_2,0.0
test_image_1_plant_3,255.56854249492403
test_image_1_plant_4,0.0
test_image_1_plant_5,0.0
test_image_10_plant_1,1138.298556597337
test_image_10_plant_2,1657.673231640422
test_image_10_plant_3,1270.9726547895318
test_image_10_plant_4,1313.2569260369942
test_image_10_plant_5,1159.0853531617402
test_image_11_plant_1,1079.4112549695453
test_image_11_plant_2,1423.5533905932762
test_image_11_plant_3,1461.1391770309033
test_image_11_plant_4,1545.5828278447989
test_image_11_plant_5,1518.844804515676
test_image_12_plant_1,1029.1147904132629
test_image_12_plant_2,1085.9015869776663
test_image_12_plant_3,927.7472580451151
test_image_12_plant_4,1006.70057685089
test_image_12_plant_5,1029.8305191658008
test_image_13_plant_1,1465.1808075912459
test_image_13_plant_2,1204.3746750430848
test_image_13_plant_3,1135.7422074112328
test_image_13_plant_4,1360.0853531617402
test_image_13_plant_5,1537.9970414071722
test_image_14_plant_1,0.0
test_image_14_plant_2,148.0832611206852
test_image_14_plant_3,0.0
test_image_14_plant_4,129.11269837220806
test_image_14_plant_5,0.0
test_image_15_plant_1,301.81118318204335
test_image_15_plant_2,283.2548339959392
test_image_15_plant_3,340.0954544295055
test_image_15_plant_4,341.56854249492415
test_image_15_plant_5,276.0538238691627
test_image_16_plant_1,403.4507934888328
test_image_16_plant_2,401.7939392393404
test_image_16_plant_3,0.0
test_image_16_plant_4,438.6639969244295
test_image_16_plant_5,409.16652224137096
test_image_17_plant_1,623.5756851698615
test_image_17_plant_2,690.5046173579959
test_image_17_plant_3,789.0193359837574
test_image_17_plant_4,819.8721497261437
test_image_17_plant_5,776.6589462905469
test_image_18_plant_1,672.4528855298877
test_image_18_plant_2,1172.707719525827
test_image_18_plant_3,0.0
test_image_18_plant_4,1556.602163828556
test_image_18_plant_5,1438.9625535217667
test_image_2_plant_1,1112.1686142824258
test_image_2_plant_2,174.88225099390863
test_image_2_plant_3,915.386868351905
test_image_2_plant_4,1516.0214280248122
test_image_2_plant_5,1229.5706345359788
test_image_3_plant_1,138.79898987322332
test_image_3_plant_2,18.242640687119287
test_image_3_plant_3,44.727922061357845
test_image_3_plant_4,103.38477631085023
test_image_3_plant_5,55.485281374238554
test_image_4_plant_1,363.23759005323654
test_image_4_plant_2,321.3259018078048
test_image_4_plant_3,212.45584412271577
test_image_4_plant_4,315.90663761154906
test_image_4_plant_5,104.48528137423855
test_image_5_plant_1,267.6101730552666
test_image_5_plant_2,244.15432893255087
test_image_5_plant_3,69.14213562373095
test_image_5_plant_4,209.5979797464467
test_image_5_plant_5,212.78174593052054
test_image_6_plant_1,315.9533188057744
test_image_6_plant_2,496.89444430272897
test_image_6_plant_3,473.320851173922
test_image_6_plant_4,462.48023074035575
test_image_6_plant_5,298.9949493661169
test_image_7_plant_1,399.0832611206854
test_image_7_plant_2,189.08326112068542
test_image_7_plant_3,68.07106781186548
test_image_7_plant_4,432.6518036156096
test_image_7_plant_5,494.00714267493737
test_image_8_plant_1,2161.1585130146573
test_image_8_plant_2,2172.4966081312828
test_image_8_plant_3,2186.891485709896
test_image_8_plant_4,1853.0336213336325
test_image_8_plant_5,749.3746750430851
test_image_9_plant_1,585.4213562373103
test_image_9_plant_2,535.8822509939089
test_image_9_plant_3,678.7888886054582
test_image_9_plant_4,444.9533188057744
test_image_9_plant_5,668.2914139223992
